epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.0658,1.04314,1.24696,1.01828,0.74195,0.69339,0.74528,0.56116,0.98255,0.8072,0.99345,0.000415952,0.000415952,0.000415952
2,147.965,0.96485,0.78683,0.98868,0.81592,0.74289,0.79982,0.61534,0.8614,0.67968,0.95675,0.000816133,0.000816133,0.000816133
3,218.596,0.94409,0.71211,0.98964,0.83162,0.8149,0.8638,0.6861,0.83926,0.60891,0.95614,0.00119981,0.00119981,0.00119981
4,289.164,0.91289,0.65413,0.97694,0.88328,0.77602,0.86779,0.70323,0.80122,0.56512,0.94399,0.00117575,0.00117575,0.00117575
5,359.849,0.882,0.61311,0.96673,0.86075,0.83104,0.88936,0.728,0.75116,0.53683,0.92394,0.001151,0.001151,0.001151
6,430.341,0.86246,0.59025,0.9623,0.8792,0.80305,0.87521,0.71632,0.76263,0.52346,0.92788,0.00112625,0.00112625,0.00112625
7,501.045,0.84876,0.56968,0.95841,0.85511,0.79698,0.86423,0.71203,0.76568,0.58694,0.93555,0.0011015,0.0011015,0.0011015
8,571.671,0.83488,0.55006,0.95408,0.90259,0.81794,0.89459,0.73958,0.74001,0.50681,0.91963,0.00107675,0.00107675,0.00107675
9,642.23,0.82284,0.5371,0.9489,0.90162,0.85338,0.92136,0.77344,0.72696,0.46546,0.91889,0.001052,0.001052,0.001052
10,713.012,0.81533,0.52699,0.94546,0.8882,0.80758,0.91287,0.76879,0.71854,0.48768,0.91429,0.00102725,0.00102725,0.00102725
11,783.377,0.80806,0.51777,0.94269,0.90217,0.88061,0.94254,0.80232,0.70448,0.44723,0.91124,0.0010025,0.0010025,0.0010025
12,853.857,0.79905,0.51117,0.94003,0.87275,0.8814,0.93728,0.79163,0.68979,0.43957,0.90521,0.00097775,0.00097775,0.00097775
13,924.114,0.7893,0.49826,0.93851,0.91087,0.85622,0.93507,0.79836,0.69017,0.41745,0.90589,0.000953,0.000953,0.000953
